Food name,Measure,Weight ,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
"Lettuce, iceberg, shredded",250mL,58,8.0,34.0,1,2,1,tr,,,,,10,0.2,6,82.0,4,12,15,0,17.0,,,,0,,,2,,,,,174,,,,0.7,,,,,,
"Lettuce, looseleaf, shredded",250mL,59,9.0,37.0,1,2,tr,tr,,,,,21,0.5,17,115.0,8,17,219,0,22.0,,,,0,,,11,,,,,2629,,,,0.8,,,,,,
"Lettuce, romaine, shredded",250mL,59,10.0,42.0,1,2,1,tr,,,,,20,0.6,5,146.0,8,18,172,0,80.0,,,,0,,,14,,,,,2062,,,,1.2,,,,,,
"Lettuce, spring mix (mesclun)",250mL,58,12.0,50.0,1,2,tr,tr,,,,,43,0.7,21,202.0,19,23,124,0,62.0,,,,0,,,9,,,,,1489,,,,1.1,,,,,,
"Mushrooms, pieces, canned, drained",125mL,82,21.0,87.0,2,4,2,tr,,,,,9,0.7,350,106.0,12,54,0,0,10.0,,,,0,,,1,,,,,0,,,,2.3,,,,,,
"Mushrooms, portobello, grilled",125mL,85,30.0,124.0,4,4,0,1,,,,,3,0.5,9,443.0,13,128,0,0,16.0,,,,0,,,0,,,,,0,,,,1.9,,,,,,
"Mushrooms, raw",3 medium,54,12.0,50.0,2,2,1,tr,,,,,2,0.3,2,170.0,5,46,0,0,9.0,,,,0.02,,,1,,,,,0,,,,0.6,,,,,,
"Mushrooms, shiitake, sliced, stir-fried",125mL,57,27.0,115.0,2,4,tr,tr,,,,,1,0.3,3,186.0,11,63,0,0,8.0,,,,0,,,0,,,,,0,,,,2.1,,,,,,
"Mushrooms, white, sliced, stir-fried",125mL,57,15.0,62.0,2,2,0,tr,,,,,2,0.1,7,226.0,6,60,0,0,11.0,,,,0,,,0,,,,,0,,,,1.0,,,,,,
"Onions, green (scallion), raw",1 medium,15,5.0,20.0,tr,1,tr,tr,,,,,11,0.2,2,41.0,3,6,8,0,10.0,,,,0,,,3,,,,,90,,,,0.4,,,,,,
"Onions, yellow, chopped, raw",60mL,41,17.0,71.0,tr,4,2,tr,,,,,9,0.1,1,58.0,4,11,0,0,8.0,,,,0,,,3,,,,,tr,,,,0.6,,,,,,
"Onions, yellow, chopped, sauteed",125mL,46,61.0,254.0,tr,4,2,5,,,,,9,0.1,6,61.0,4,15,,,,,,,0,,,1,,,,,,,,,0.8,,,,,,
"Parsnip, sliced, boiled, drained",125mL,82,59.0,245.0,1,14,4,tr,,,,,30,0.5,8,302.0,24,57,0,0,48.0,,,,0,,,11,,,,,0,,,,2.7,,,,,,
"Peas, green, canned, drained",125mL,90,62.0,260.0,4,11,4,tr,,,,,18,0.9,226,155.0,15,60,24,0,40.0,,,,0,,,9,,,,,287,,,,4.0,,,,,,
"Peas, green, frozen, boiled, drained",125mL,85,66.0,276.0,4,12,4,tr,,,,,20,1.3,61,93.0,19,65,89,0,50.0,,,,0,,,8,,,,,1057,,,,3.7,,,,,,
"Peas, snowpeas, boiled, drained",125mL,85,36.0,149.0,3,6,3,tr,,,,,36,1.7,3,203.0,22,46,44,0,25.0,,,,0,,,40,,,,,505,,,,2.4,,,,,,
"Peas, snowpeas, raw",10,34,14.0,60.0,1,3,1,tr,,,,,15,0.7,1,68.0,8,18,18,0,14.0,,,,0,,,20,,,,,214,,,,0.6,,,,,,
"Pepper, jalapeno, raw",1,14,4.0,18.0,tr,1,tr,tr,,,,,1,0.1,tr,30.0,3,4,6,0,7.0,,,,0,,,6,,,,,64,,,,0.4,,,,,,
"Pepper, sweet, green, raw",  1/2 ,82,16.0,69.0,1,4,2,tr,,,,,8,0.3,2,144.0,8,16,15,0,9.0,,,,0,,,66,,,,,171,,,,1.2,,,,,,
"Pepper, sweet, green, sauteed",125mL,74,95.0,396.0,1,3,2,9,,,,,6,0.2,13,100.0,6,11,8,0,1.0,,,,0,,,132,,,,,101,,,,1.3,,,,,,
"Pepper, sweet, red, raw",  1/2 ,60,15.0,65.0,1,4,2,tr,,,,,4,0.3,1,126.0,7,15,93,183,11.0,,,,0,,,113,,,,,966,,,,0.8,,,,,,
"Pepper, sweet, red, sauteed",125mL,74,99.0,413.0,1,5,3,9,,,,,5,0.4,16,144.0,9,17,98,361,1.0,,,,0,,,121,,,,,1169,,,,1.3,,,,,,
"Pepper, sweet, yellow, raw",  1/2 ,93,25.0,105.0,1,6,,tr,,,,,10,0.4,2,197.0,11,22,9,,24.0,,,,0,,,171,,,,,112,,,,0.8,,,,,,
"Pepper, sweet, yellow, sauteed",125mL,74,36.0,149.0,1,5,0,2,,,,,9,0.3,175,153.0,9,18,30,0,19.0,,,,tr,,,132,,,,,86,,,,0.6,,,,,,
"Potato, baked, flesh",1,156,145.0,607.0,3,34,3,tr,,,,,8,0.5,8,610.0,39,78,0,0,14.0,,,,0,,,20,,,,,0,,,,3.4,,,,,,
"Potato, baked, flesh and skin",1,173,161.0,673.0,4,37,2,tr,,,,,26,1.9,17,926.0,48,121,2,0,48.0,,,,0,,,17,,,,,10,,,,3.8,,,,,,
"Potato, boiled without skin",1,135,116.0,486.0,2,27,1,tr,,,,,11,0.4,7,443.0,27,54,0,0,12.0,,,,0,,,10,,,,,3,,,,1.9,,,,,,
"Potato, boiled, flesh and skin",1,150,129.0,540.0,3,30,1,tr,,,,,13,1.3,7,572.0,34,67,0,0,15.0,,,,0,,,18,,,,,0,,,,2.5,,,,,,
"Potato, canned, drained",4,140,84.0,351.0,2,19,,tr,,,,,7,1.8,307,321.0,20,39,0,0,8.0,,,,0,,,7,,,,,0,,,,1.3,,,,,,
"Potato, microwaved, flesh and skin",1,202,212.0,887.0,5,49,,tr,,,,,22,2.5,16,903.0,55,212,0,0,24.0,,,,0,,,31,,,,,0,,,,5.1,,,,,,
"Potato, microwaved, peeled after cooking",1,156,156.0,652.0,3,36,,tr,,,,,8,0.6,11,641.0,39,170,0,0,19.0,,,,0,,,24,,,,,0,,,,3.4,,,,,,
"Potatoes, French fried, frozen, home-prepared in oven",20 strips,48,96.0,403.0,2,15,tr,4,,,,,4,0.6,14,201.0,11,40,0,0,6.0,,,,0,,,5,,,,,1,,,,1.6,,,,,,
"Potatoes, hashed brown, plain, frozen, heated",125mL,82,180.0,752.0,3,23,1,9,,,,,12,1.2,28,359.0,14,59,0,0,6.0,,,,0,,,5,,,,,0,,,,1.8,,,,,,
"Potatoes, mashed, dried, 2% milk and margarine added",125mL,111,107.0,447.0,3,15,2,4,,,,,46,0.2,284,235.0,15,59,61,0,8.0,,,,0.13,,,14,,,,,2,,,,1.1,,,,,,
"Potatoes, mashed, homemade with 2% milk and margarine",125mL,111,116.0,487.0,2,19,,4,,,,,29,0.3,327,321.0,20,51,19,0,9.0,,,,0.06,,,7,,,,,100,,,,2.2,,,,,,
"Potatoes, scalloped, from mix with water, 2% milk and margarine",125mL,129,120.0,502.0,3,16,2,5,,,,,66,0.4,420,243.0,17,81,64,0,8.0,,,,0.11,,,3,,,,,1,,,,1.0,,,,,,
"Potatoes, scalloped, homemade",125mL,129,111.0,466.0,4,14,,5,,,,,74,0.7,434,489.0,25,82,,0,16.0,,,,0,,,14,,,,,83,,,,2.5,,,,,,
"Pumpkin, canned",125mL,129,44.0,184.0,1,10,4,tr,,,,,34,1.8,6,267.0,30,45,1007,0,16.0,,,,0,,,5,,,,,8983,,,,3.8,,,,,,
"Radicchio, chopped",125mL,21,5.0,20.0,tr,1,tr,tr,,,,,4,0.1,5,64.0,3,8,tr,0,13.0,,,,0,,,2,,,,,3,,,,0.2,,,,,,
Radishes,3 medium,14,2.0,9.0,tr,tr,tr,tr,,,,,3,tr,5,31.0,1,3,0,0,3.0,,,,0,,,2,,,,,1,,,,0.2,,,,,,
"Rutabaga (yellow turnip), diced, boiled, drained",125mL,90,35.0,146.0,1,8,5,tr,,,,,43,0.5,18,293.0,21,50,13,0,13.0,,,,0,,,17,,,,,1,,,,1.6,,,,,,
"Sauerkraut, canned, not drained",125mL,75,14.0,59.0,1,3,1,tr,,,,,23,1.1,496,128.0,10,15,1,0,18.0,,,,0,,,11,,,,,6,,,,1.9,,,,,,
"Seaweed, dulse, dried",60mL,4,8.0,35.0,1,1,tr,tr,,,,,17,0.4,11,84.0,tr,14,62,,35.0,,,,0,,,9,,,,,740,,,,0.1,,,,,,
"Spinach, boiled, drained",125mL,95,22.0,91.0,3,4,tr,tr,,,,,129,3.4,67,443.0,83,53,498,0,139.0,,,,0,,,9,,,,,5980,,,,2.3,,,,,,
"Spinach, chopped, raw",250mL,32,7.0,30.0,1,1,tr,tr,,,,,31,0.9,25,177.0,25,16,149,0,61.0,,,,0,,,9,,,,,1783,,,,0.7,,,,,,
"Squash, acorn, cubed, baked",125mL,108,61.0,253.0,1,16,,tr,,,,,48,1,4,473.0,47,49,23,,21.0,,,,0,,,12,,,,,277,,,,2.1,,,,,,
"Squash, butternut, cubed, baked",125mL,108,43.0,181.0,1,11,2,tr,,,,,44,0.6,4,308.0,31,29,413,0,21.0,,,,0,,,16,,,,,4950,,,,1.8,,,,,,
"Squash, spaghetti, baked",125mL,82,22.0,93.0,1,5,2,tr,,,,,17,0.3,15,96.0,9,11,5,0,7.0,,,,0,,,3,,,,,48,,,,0.9,,,,,,
"Sweet potato, baked, peeled after cooking",  1/2 ,57,51.0,214.0,1,12,5,tr,,,,,22,0.4,21,271.0,15,31,548,0,3.0,,,,0,,,11,,,,,6560,,,,1.9,,,,,,
"Sweet potato, boiled without skin",  1/2 ,76,57.0,240.0,1,13,4,tr,,,,,20,0.5,20,174.0,14,24,594,0,5.0,,,,0,,,10,,,,,7130,,,,1.9,,,,,,
"Swiss chard, chopped, boiled, drained",125mL,92,18.0,78.0,2,4,1,tr,,,,,54,2.1,165,508.0,80,31,283,0,8.0,,,,0,,,17,,,,,3376,,,,1.9,,,,,,
"Tomatoes, canned, stewed",125mL,135,35.0,147.0,1,8,6,tr,,,,,46,1.8,298,279.0,16,27,12,5436,7.0,,,,0,,,11,,,,,140,,,,1.4,,,,,,
"Tomatoes, canned, whole",125mL,127,22.0,90.0,1,5,3,tr,,,,,39,1.2,162,238.0,14,24,8,3423,10.0,,,,0,,,18,,,,,89,,,,1.0,,,,,,
"Tomatoes, raw",1,123,22.0,92.0,1,5,3,tr,,,,,12,0.3,6,292.0,14,30,52,3165,18.0,,,,0,,,16,,,,,552,,,,1.5,,,,,,
"Tomatoes, sun-dried",1 piece,2,5.0,22.0,tr,1,1,tr,,,,,2,0.2,42,69.0,4,7,1,815,1.0,,,,0,,,1,,,,,10,,,,0.2,,,,,,
"Tomatoes, sun-dried, packed in oil, drained",1 piece,3,6.0,27.0,tr,1,,tr,,,,,1,0.1,8,47.0,2,4,2,,1.0,,,,0,,,3,,,,,23,,,,0.2,,,,,,
"Turnip (white turnip), cubed, boiled, drained",125mL,82,18.0,76.0,1,4,2,tr,,,,,27,0.1,13,146.0,7,21,0,0,7.0,,,,0,,,10,,,,,0,,,,1.6,,,,,,
"Vegetables, Asian mix  (broccoli, carrots, green beans, ""mini corn"", snow peas, sweet red pepper), frozen, boiled, drained",125mL,74,29.0,122.0,1,6,2,tr,,,,,24,0.5,15,128.0,13,32,192,tr,23.0,,,,0,,,22,,,,,1878,,,,1.8,,,,,,
"Vegetables, broccoli and cauliflower, frozen, boiled, drained",125mL,95,22.0,93.0,2,4,1,tr,,,,,33,0.5,20,152.0,14,38,27,0,34.0,,,,0,,,34,,,,,322,,,,2.4,,,,,,
"Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained",125mL,96,63.0,262.0,3,13,3,tr,,,,,24,0.8,34,163.0,21,49,206,0,18.0,,,,0,,,3,,,,,2002,,,,2.8,,,,,,
"Vegetables, peas and carrots, canned, not drained",125mL,135,51.0,214.0,3,11,,tr,,,,,31,1,350,135.0,19,62,389,,24.0,,,,0,,,9,,,,,0,,,,2.7,,,,,,
"Zucchini, raw, slices",4,40,6.0,27.0,tr,1,1,tr,,,,,6,0.1,4,104.0,7,15,4,0,11.0,,,,0,,,7,,,,,48,,,,0.4,,,,,,
"Zucchini, sliced, boiled, drained",125mL,95,15.0,64.0,1,4,2,tr,,,,,12,0.3,3,241.0,21,38,53,0,16.0,,,,0,,,4,,,,,637,,,,1.3,,,,,,
Carrot juice,125mL,125,50.0,208.0,1,12,5,tr,,,,,30,0.6,36,364.0,17,52,966,2,5.0,,,,0,,,11,,,,,11599,,,,1.0,,,,,,
"Coleslaw with dressing, homemade",125mL,63,44.0,183.0,1,8,,2,,,,,29,0.4,15,115.0,6,20,34,,17.0,,,,0,,,21,,,,,87,,,,1.0,,,,,,
"Potato salad, homemade",125mL,132,205.0,858.0,4,14,3,15,,,,,28,0.7,579,276.0,17,66,57,0,22.0,,,,0.2,,,17,,,,,183,,,,1.4,,,,,,
Tomato clam cocktail,125mL,128,61.0,257.0,1,14,4,tr,,,,,10,0.2,462,114.0,6,14,9,3807,10.0,,,,0.04,,,6,,,,,163,,,,0.5,,,,,,
Tomato juice,125mL,128,22.0,91.0,1,5,5,tr,,,,,13,0.6,345,294.0,14,23,30,11602,26.0,,,,0,,,10,,,,,347,,,,0.9,,,,,,
"Tomato juice, without added salt",125mL,184,31.0,131.0,1,8,7,tr,,,,,18,0.8,18,421.0,20,33,42,16611,37.0,,,,0,,,34,,,,,,,,,0.7,,,,,,
"Tomato sauce for spaghetti, canned",125mL,132,143.0,600.0,2,21,,6,,,,,37,0.9,652,505.0,32,47,82,,28.0,,,,0,,,15,,,,,967,,,,1.9,,,,,,
"Tomato sauce, canned",125mL,129,41.0,173.0,2,10,6,tr,,,,,17,1.3,678,428.0,21,34,22,19612,12.0,,,,0,,,8,,,,,271,,,,1.9,,,,,,
Vegetable juice cocktail,125mL,128,24.0,101.0,1,6,4,tr,,,,,14,0.5,345,247.0,14,22,100,12351,27.0,,,,0,,,35,,,,,1061,,,,0.7,,,,,,
"Vegetable juice cocktail, low sodium",125mL,128,28.0,118.0,1,6,5,tr,,,,,14,0.5,89,247.0,14,22,66,12350,27.0,,,,0,,,35,,,,,1061,,,,1.0,,,,,,
"Beef or chicken, broth/bouillon",250mL,254,18.0,74.0,3,tr,0,1,0.3,,,0,15.0,0.4,827,137.0,5.0,33.0,0.0,,,,,,0.18,,,0,,,,,,,,,0.0,5.0,,,,,
"Beef, chunky",250mL,254,180.0,753.0,12,21,2,5,2.7,,,15,33.0,2.5,915,355.0,5.0,127.0,137.0,,,,,,0.66,,,7,,,,,,,,,1.5,15.0,,,,,
"Chicken noodle, chunky",250mL,254,185.0,773.0,13,18,2,6,1.5,,,20,25.0,1.5,898,114.0,10.0,76.0,71.0,,,,,,0.33,,,0,,,,,,,,,4.1,65.0,,,,,
"Chicken noodle, low fat, reduced salt",250mL,257,105.0,444.0,9,13,1,2,1.0,,,13,21.0,0.0,501,,,,,,,,,,,,,0,,,,,,,,,2.1,,,,,,
"Chicken vegetable, chunky",250mL,254,175.0,733.0,13,20,,5,1.5,,,18,28.0,1.5,1128,388.0,10.0,112.0,317.0,,,,,,0.25,,,6,,,,,,,,,0.9,13.0,,,,,
"Clam chowder, Manhattan",250mL,254,142.0,593.0,8,20,4,4,2.2,,,15,71.0,2.8,1057,406.0,20.0,89.0,178.0,,,,,,8.37,,,13,,,,,,,,,3.0,10.0,,,,,
"Minestrone, chunky",250mL,254,134.0,563.0,5,22,6,3,1.6,,,5,63.0,1.9,913,647.0,15.0,117.0,226.0,,,,,,0.0,,,5,,,,,,,,,6.1,72.0,,,,,
"Split pea with ham, chunky",250mL,254,195.0,817.0,12,28,5,4,1.7,,,8,36.0,2.3,1019,322.0,41.0,188.0,259.0,,,,,,0.25,,,7,,,,,,,,,4.1,5.0,,,,,
"Vegetable, chunky",250mL,254,129.0,540.0,4,20,4,4,0.6,,,0,58.0,1.7,1068,418.0,8.0,76.0,307.0,,,,,,0.0,,,6,,,,,,,,,1.3,18.0,,,,,
Beef noodle,250mL,258,88.0,366.0,5,9,2,3,1.2,,,5,15.0,1.2,1005,106.0,5.0,49.0,8.0,,,,,,0.21,,,tr,,,,,,,,,0.8,31.0,,,,,
Chicken broth,250mL,254,41.0,170.0,5,1,1,1,0.4,,,0,10.0,0.5,806,218.0,3.0,76.0,0.0,,,,,,0.25,,,0,,,,,,,,,0.0,5.0,,,,,
Chicken noodle,250mL,255,79.0,331.0,4,10,tr,3,0.7,,,8,18.0,0.8,1169,59.0,5.0,38.0,38.0,,,,,,0.15,,,tr,,,,,,,,,0.8,37.0,,,,,
Cream of mushroom,250mL,258,137.0,572.0,2,10,2,9,2.6,,,3,49.0,0.5,931,106.0,5.0,52.0,15.0,,,,,,0.05,,,1,,,,,,,,,0.5,5.0,,,,,
Tomato,250mL,258,90.0,376.0,2,18,9,2,0.4,,,0,13.0,1.9,735,278.0,8.0,36.0,26.0,,,,,,0.0,,,3,,,,,,,,,1.2,15.0,,,,,
"Tomato, reduced salt",250mL,258,90.0,376.0,2,19,8,2,0.4,,,0,13.0,1.9,52,278.0,8.0,36.0,44.0,,,,,,0.0,,,70,,,,,,,,,0.5,18.0,,,,,
Vegetables with beef,250mL,258,83.0,345.0,6,11,1,2,0.9,,,5,18.0,1.2,835,183.0,5.0,44.0,101.0,,,,,,0.34,,,1,,,,,,,,,0.7,10.0,,,,,
Vegetarian vegetable,250mL,255,76.0,318.0,2,13,4,2,0.3,,,0,23.0,1.1,868,222.0,8.0,36.0,122.0,,,,,,0.0,,,2,,,,,,,,,0.5,10.0,,,,,
"Clam chowder, New England",250mL,262,157.0,658.0,10,18,,5,1.9,,,16,202.0,1.6,1051,320.0,26.0,168.0,71.0,,,,,,10.85,,,4,,,,,,,,,1.6,10.0,,,,,
Cream of chicken,250mL,262,189.0,789.0,8,16,7,10,3.7,,,21,194.0,0.7,1108,293.0,21.0,162.0,86.0,,,,,,0.58,,,1,,,,,,,,,0.3,,,,,,
Cream of mushroom,250mL,262,202.0,844.0,6,16,,13,4.2,,,10,191.0,0.6,983,288.0,24.0,168.0,86.0,,,,,,0.52,,,2,,,,,,,,,0.5,10.0,,,,,
"Cream of mushroom, reduced salt",250mL,262,134.0,558.0,6,17,9,5,2.4,,,14,168.0,0.7,562,691.0,21.0,189.0,74.0,,,,,,0.5,,,tr,,,,,,,,,0.8,21.0,,,,,
Cream of tomato,250mL,262,155.0,647.0,6,24,0,5,1.9,,,10,173.0,1.9,802,480.0,26.0,160.0,69.0,,,,,,0.47,,,4,,,,,,,,,1.3,22.0,,,,,
Chicken noodle,250mL,254,58.0,243.0,2,9,1,1,0.3,,,10,5.0,0.5,581,33.0,8.0,30.0,3.0,,,,,,0.05,,,0,,,,,,,,,0.3,28.0,,,,,
Minestrone,250mL,268,83.0,349.0,5,13,,2,0.9,,,3,40.0,1.1,1084,360.0,8.0,64.0,16.0,,,,,,0.0,,,1,,,,,,,,,0.8,51.0,,,,,
Onion,250mL,260,29.0,120.0,1,5,2,1,0.1,,,0,13.0,0.2,897,68.0,5.0,31.0,0.0,,,,,,0.0,,,tr,,,,,,,,,0.8,3.0,,,,,
"Ramen noodles, chicken flavour, cooked",250mL,258,162.0,678.0,3,20,,8,3.5,,,0,,1.2,792,,,,72.0,,,,,,,,,0,,,,,,,,,6.2,,,,,,
Tomato vegetable,250mL,255,56.0,234.0,2,10,2,1,0.4,,,0,8.0,0.6,1154,104.0,20.0,31.0,10.0,,,,,,0.0,,,6,,,,,,,,,0.5,10.0,,,,,
Chicken noodle,250mL,255,135.0,564.0,19,7,2,3,0.7,,,64,26.0,1.1,336,302.0,30.0,168.0,136.0,,,,,,0.22,,,3,,,,,,,,,0.9,28.0,,,,,
Cream of vegetable,250mL,251,62.0,262.0,5,7,3,2,0.7,,,2,53.0,0.6,586,287.0,11.0,95.0,99.0,,,,,,0.31,,,3,,,,,,,,,0.8,11.0,,,,,
French onion,250mL,255,204.0,852.0,10,28,3,6,2.9,,,13,159.0,1.5,904,204.0,25.0,157.0,30.0,,,,,,0.58,,,2,,,,,,,,,1.9,69.0,,,,,
Lentil,250mL,262,193.0,805.0,12,27,3,5,0.4,,,0,41.0,3.3,654,365.0,41.0,171.0,45.0,,,,,,0.0,,,6,,,,,,,,,5.1,69.0,,,,,
Split pea with ham,250mL,267,190.0,797.0,13,31,5,2,0.6,,,7,39.0,1.9,312,437.0,50.0,176.0,56.0,,,,,,0.04,,,2,,,,,,,,,3.8,70.0,,,,,
Vegetable,250mL,252,49.0,204.0,3,8,2,1,0.2,,,0,34.0,0.7,692,336.0,16.0,58.0,93.0,,,,,,0.14,,,11,,,,,,,,,1.4,20.0,,,,,
Buttermilk,250mL,259,104.0,432.0,9,12,12,2,1.4,,,10,300,0.1,272,391.0,28,230,18,,,,,0.2,0.57,,,,,,0.40,,,,,,,13,,,,,
"Milk, chocolate, 1% M.F.",250mL,264,166.0,695.0,9,28,26,3,1.6,,,8,304,0.6,161,449.0,34,272,153,,,,,2.6,0.9,,,,,,0.44,,,,,,,13,,,,,
"Milk, chocolate, 2% M.F.",250mL,264,190.0,795.0,8,27,26,5,3.3,,,18,301,0.6,158,446.0,34,269,145,,,,,2.6,0.9,,,,,,0.43,,,,,,,13,,,,,
"Milk, partly skimmed, 1% M.F.",250mL,258,108.0,454.0,9,13,13,3,1.6,,,13,307,0.1,113,387.0,28,245,150,,,,,2.6,1.13,,,,,,0.48,,,,,,,13,,,,,
"Milk, partly skimmed, 2% M.F.",250mL,258,129.0,539.0,9,12,13,5,3.3,,,21,302,0.1,106,387.0,28,242,142,,,,,2.8,1.19,,,,,,0.48,,,,,,,13,,,,,
"Milk, partly skimmed, 2% M.F., with added milk solids",250mL,260,146.0,608.0,10,14,14,5,3.2,,,21,372,0.2,153,473.0,42,291,143,,,,,2.6,1.12,,,,,,0.50,,,,,,,16,,,,,
"Milk, skim",250mL,259,88.0,368.0,9,13,13,tr,0.2,,,5,324,0.1,109,404.0,28,261,158,,,,,2.7,1.37,,,,,,0.47,,,,,,,13,,,,,
"Milk, whole, 3.3% M.F.",250mL,258,155.0,647.0,8,12,14,8,5.4,,,26,291,0.1,103,369.0,26,235,72,,,,,2.7,1.13,,,,,,0.47,,,,,,,13,,,,,
"Rice beverage, flavoured and unflavoured, enriched",250mL,259,127.0,531.0,tr,26,,2,0.2,,,0,319,0.2,91,72.0,10,36,52,,,,,2.2,1.03,,,,,,0.03,,,,,,,96,,,,,
"Soy beverage, chocolate, enriched",250mL,257,162.0,673.0,6,26,20,4,0.6,,,0,323,1.2,136,367.0,38,131,180,,,,,2.6,1.8,,,,,,0.67,,,,,,,29,,,,,
"Soy beverage, original and vanilla, enriched",250mL,257,110.0,465.0,7,13,9,4,0.5,,,0,316,1.1,120,313.0,38,110,142,,,,,2.7,2.19,,,,,,0.47,,,,,,,23,,,,,
"Soy beverage, unsweetened, enriched",250mL,257,85.0,354.0,7,4,1,4,0.5,,,0,318,1.2,95,308.0,41,82,160,,,,,3.1,2.85,,,,,,0.53,,,,,,,18,,,,,
"Milk, condensed, sweetened, canned (Eagle BrandTM)",15mL,19,62.0,260.0,2,11,11,2,1.1,,,7,55,tr,25,72.0,5,49,14,,,,,,0.09,,,,,,0.08,,,,,,,2,,,,,
"Milk, evaporated, partly skimmed, canned, diluted, 2% M.F.",250mL,258,122.0,512.0,10,15,13,3,1.6,,,10,369,0.3,149,422.0,35,264,104,,,,,2.9,0.28,,,,,,0.41,,,,,,,11,,,,,
"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.",15mL,16,15.0,62.0,1,2,2,tr,0.2,,,1,44,tr,18,51.0,4,32,12,,,,,0.3,0.03,,,,,,0.05,,,,,,,1,,,,,
"Milk, evaporated, skim, canned, diluted, 0.2% M.F.",250mL,259,105.0,438.0,10,15,15,tr,0.2,,,5,392,0.4,157,446.0,38,262,159,,,,,2.9,0.32,,,,,,0.42,,,,,,,12,,,,,
"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.",15mL,16,13.0,53.0,1,2,2,tr,tr,,,1,47,tr,19,54.0,4,32,19,,,,,0.4,0.04,,,,,,0.05,,,,,,,1,,,,,
"Milk, evaporated, whole, canned, diluted, 7.8% M.F.",250mL,258,178.0,744.0,9,13,13,10,6.3,,,39,349,0.3,143,403.0,33,270,86,,,,,2.9,0.21,,,,,,0.42,,,,,,,11,,,,,
"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.",15mL,16,21.0,89.0,1,2,2,1,0.8,,,5,42,tr,17,48.0,4,32,10,,,,,0.3,0.03,,,,,,0.05,,,,,,,1,,,,,
"Milk, reconstituted, from skim milk powder",250mL,259,86.0,360.0,8,13,13,tr,0.1,,,4,301,0.1,137,410.0,30,237,170,,,,,2.6,0.96,,,,,,0.42,,,,,,,12,,,,,
Skim milk powder,5mL,1,5.0,22.0,1,1,1,tr,tr,,,tr,18,tr,8,25.0,2,14,10,,,,,0.2,0.06,,,,,,0.03,,,,,,,1,,,,,
"Chocolate milk, chocolate flavour powder + 2% milk",250mL,279,207.0,863.0,9,33,,6,3.4,,,20,321,0.8,176,531.0,59,274,143,,,,,2.8,0.92,,,,,,0.46,,,,,,,,,,,,
"Chocolate milk, syrup + 2% milk",250mL,298,238.0,998.0,10,38,,5,3.3,,,21,319,1.0,158,489.0,60,298,146,,,,,2.8,0.95,,,,,,0.45,,,,,,,15,,,,,
"Eggnog, 7% M.F.",250mL,268,362.0,1516.0,10,36,23,20,11.9,,,158,349,0.5,145,443.0,51,293,121,,,,,1.1,1.21,,,,,,0.51,,,,,,,3,,,,,
"Hot chocolate, aspartame sweetened, powder + water",250mL,270,78.0,326.0,3,15,9,1,0,,,0,127,1.1,240,569.0,46,189,38,,,,,,0.35,,,,,,0.29,,,,,,,3,,,,,
"Hot chocolate, homemade with cocoa + 2% milk",250mL,264,203.0,851.0,9,28,26,6,3.8,,,21,277,1.3,116,520.0,61,277,135,,,,,2.6,1.11,,,,,,0.48,,,,,,,13,,,,,
"Hot chocolate, powder + 2% milk",250mL,264,255.0,1068.0,10,41,37,6,3.8,,,20,318,0.5,272,595.0,55,327,126,,,,,2.5,1.52,,,,,,0.62,,,,,,,11,,,,,
"Hot chocolate, powder + water",250mL,291,160.0,669.0,2,34,30,2,0.9,,,3,64,0.5,206,285.0,35,125,0,,,,,,0.52,,,,,,0.23,,,,,,,0,,,,,
Instant breakfast powder + 2% milk,250mL,280,260.0,1087.0,16,36,12,5,3.1,,,24,555,3.9,286,811.0,61,459,444,,,,,2.6,2.21,,,,,,1.41,,,,,,,12,,,,,
"Milk shake, chocolate",250mL,249,296.0,1240.0,8,53,52,7,4.2,,,27,329,0.8,276,558.0,40,314,45,,,,,1.0,0.8,,,,,,0.55,,,,,,,12,,,,,
"Milk shake, vanilla",250mL,249,279.0,1166.0,10,44,44,8,4.7,,,30,364,0.2,237,456.0,30,286,62,,,,,0.5,1.3,,,,,,0.49,,,,,,,17,,,,,
Drinkable yogourt,200mL,207,145.0,607.0,5,24,24,3,2.1,,,12,191,0.2,81,257.0,23,157,,,,,,0.2,0.58,,,,,,0.23,,,,,,,25,,,,,
"Fresh cheese (DanimalTM, MinigoTM)",1,60,68.0,286.0,3,10,10,2,1.1,,,6,138,0.1,32,84.0,7,50,,,,,,,,,,,,,,,,,,,,,,,,,
